timestamp,voc [ppb],sound_pressure_level [dba],indoor_relative_humidity [%],air_temperature [Celsius],illuminance [lux],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],ceiling_fan_energy [kWh],lighting_energy [kWh],plug_load_energy [kWh],chilled_water_energy [kWh],ahu_fan_energy [kWh],supply_air_flow [CMH],damper_position [%],temp_setpoint [Celsius],cooling_coil_valve_position [%],cooling_coil_valve_command [%],ahu_fan_speed [Hz],offcoil_air_temp [Celsius],offcoil_temp_setpoint [Celsius],pressure_across_filter [Pa],supply_air_humidity [%],supply_air_pressure [Pa],supply_air_temperature [Celsius],baromatic_pressure [hPa],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],wind_direction [Degree],wind_speed [m/s],outdoor_co2 [ppm],outdoor_relative_humidity [%],occupant_presence [binary],occupant_count [number]
2021-09-07 02:25 +08:00,146.8666687,54.72333145,63.00699997,26.95933342,653.7266846,2.400000095,450,2,0,0.016601,0.01709,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.350098,26.60000038,0,185.5364075,0.135129824,464.2727661,98.09999847,0,0
2021-09-07 02:30 +08:00,138.8999939,54.79666519,63.04866791,26.92200089,672.2299805,2.333333254,448.5333252,3,0,0.016602,0.016601,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.24845886,17,0,94.8447876,0,25.6738224,1004.299988,26.60000038,0,92.31917572,0.07000915,463.1219788,98.10001373,0,0
2021-09-07 02:35 +08:00,131.8666687,56.02000046,63.04199982,26.8983326,666.1900024,2.5,455.7000122,2,0,0.016601,0.016602,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.6738224,1004.299988,26.60000038,0,269.3999939,0.071941637,463.4957275,98.19999695,0,0
2021-09-07 02:40 +08:00,115.0357132,53.99642944,62.89928436,26.93428612,689.6142578,2.571428537,454.5357056,2,0,0.016602,0.01709,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.299988,26.5,0,84.5,0.140000001,463.8955688,98.30000305,0,0
2021-09-07 02:45 +08:00,114.0666656,54.52666855,62.90533447,26.92533302,645.3433228,2.733333349,448.5,2,0,0.01709,0.016601,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.299988,26.5,0,350.1734924,0.277730167,463.2893677,98.5,0,0
2021-09-07 02:50 +08:00,113.7096786,54.87741852,62.87838745,26.90967751,551.8290405,2.774193525,448.1290283,2,0,0.016601,0.016602,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.299988,26.5,0.98365587,119.4642639,0.100000001,463.3056946,98.80000305,0,0
2021-09-07 02:55 +08:00,108.4000015,54.93000031,62.76733398,26.93166733,588.9366455,2.900000095,448.9333191,2,0,0.016602,0.01709,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.10321,26.5,0,117.4000015,0.100000001,463.892334,99.19675446,0,0
2021-09-07 03:00 +08:00,102.7333298,54.53333282,62.67633438,26.93600082,643.2999878,2.966666698,447.3333435,4,0,0.016602,0.016601,0,0.02539,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.200012,26.5,0.983848751,116.0141602,0.230000004,463.8858032,99.30000305,0,0
2021-09-07 03:05 +08:00,98.23332977,54.9366684,62.73833466,26.92733383,653.5966797,3,442.5666809,1,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.200012,26.5,0,115.1472092,0.244329512,464.4822693,99.5,0,0
2021-09-07 03:10 +08:00,94.6333313,54.33666611,62.39500046,27.03800011,648.0666504,3,448.3666687,2,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.200012,26.60000038,0,79.99819946,0.219999999,463.7118225,99.29998016,0,0
